1.057507776357890644e-01,1.057507776357890644e-01,1.057507776357890644e-01,1.057507776357890644e-01,1.057507776357890644e-01,1.057507776357890644e-01,1.082372087070734290e-01,2.888741128862611918e-01,7.656423653297391718e-01,9.072418316192715215e-01
1.057507776357890644e-01,1.057507776357890644e-01,1.057507776357890644e-01,1.057507776357890644e-01,1.057507776357890644e-01,1.330014519849961885e-01,3.792478766522211497e-01,7.990011393573448473e-01,9.140993446473659745e-01,9.412917483927210061e-01
1.057507776357890644e-01,1.057507776357890644e-01,1.057507776357890644e-01,1.057507776357890644e-01,1.650617144611120912e-01,4.646564340839310359e-01,8.261756576980697764e-01,9.190173476297113231e-01,9.456075367009711963e-01,9.629217392178424095e-01
1.057507776357890644e-01,1.057507776357890644e-01,1.057507776357890644e-01,1.687772831724743128e-01,5.042824816633538765e-01,8.459048501863819514e-01,9.283083555348496940e-01,9.474539103658937700e-01,9.659802340948860921e-01,9.752596320929036722e-01
1.057507776357890644e-01,1.057507776357890644e-01,1.156814445145647186e-01,4.144792571698951988e-01,8.286926020148021044e-01,9.289314325688670104e-01,9.517264494210415648e-01,9.678285307257915582e-01,9.758788271393432634e-01,9.826814810072146411e-01
1.057507776357890644e-01,1.057507776357890644e-01,1.941379001153196726e-01,7.285439669418838360e-01,9.307307110487215152e-01,9.523665068274033141e-01,9.678265717041967253e-01,9.783351433979042833e-01,9.870104037558439236e-01,9.900747035864482237e-01
1.057507776357890644e-01,1.057507776357890644e-01,1.539583296913523136e-01,7.273524178237968929e-01,9.437120727737735582e-01,9.598141901341357141e-01,9.758618107113866680e-01,9.832948711000938369e-01,9.900878380268272050e-01,9.913188986328878016e-01
1.057507776357890644e-01,1.057507776357890644e-01,1.057507776357890644e-01,1.515773004646002176e-01,7.491145499181574019e-01,9.468250283783161692e-01,9.665940586761021525e-01,9.808084400288095139e-01,9.894497035864482370e-01,9.906938986328878149e-01
1.057507776357890644e-01,1.057507776357890644e-01,1.057507776357890644e-01,1.057507776357890644e-01,1.057507776357890644e-01,1.595843115694374204e-01,5.512882910601311082e-01,8.584203420810803120e-01,9.362358712988003706e-01,9.733588337560945547e-01
1.057507776357890644e-01,1.057507776357890644e-01,1.057507776357890644e-01,1.057507776357890644e-01,1.057507776357890644e-01,1.057507776357890644e-01,1.057507776357890644e-01,1.199991918444099082e-01,2.597693730082005770e-01,8.070476258945434855e-01
